a|b|paa|pbb|pab|acore|bcore|sbm_pmat|na|N|taa|tbb
47|81|0.612890307534658|0.32482538486001344|0.06228430760532856|(0.3978333906264748, 0.22613065326633167)|(0.7506390463179954, 0.36683417085427134)|(0.0005875804497400723, 3.576605620136576e-05, 0.00044697365383830563)|0.5330470054879504|19921|0.9516450556886556|0.9125140626034015
47|82|0.5446164805464183|0.3536005363615412|0.10178298309204048|(0.43308163293256335, 0.2763819095477387)|(0.6670237097130592, 0.37185929648241206)|(0.000514166021585518, 5.009641910734348e-05, 0.0003629825231023364)|0.5028511404561825|21223|0.9145410407064701|0.8741841914430747
47|84|0.9665851670741646|0.02693191079499148|0.006482922130843892|(0.03298541660909787, 0.020100502512562814)|(1.1838248448525157, 0.48743718592964824)|(0.0006955536561918424, 2.8011204481792718e-05, 0.002797821778367873)|0.9126438346837339|11499|0.996657690177429|0.8925721301411909
47|85|0.6793670242579871|0.3140633757837246|0.006569599958288254|(0.38466041220075803, 0.1658291457286432)|(0.8320515563006634, 0.34673366834170855)|(0.0006873730562660328, 6.9166301107669495e-06, 0.001376604443505911)|0.6697646529755659|16107|0.9951881766626568|0.989649223691777
47|87|0.5647846307645499|0.37075672621376105|0.06445864302168905|(0.45408683501479186, 0.25125628140703515)|(0.6917170998578037, 0.34673366834170855)|(0.0005487506852784959, 4.0494162027927976e-05, 0.0006024925781902313)|0.5554450522128295|18484|0.9460157984783953|0.9200237286307502
47|89|0.6498370318568378|0.3067797245151542|0.04338324362800804|(0.37572856880085526, 0.19597989949748745)|(0.7958872781945662, 0.36683417085427134)|(0.0006128489277045779, 4.824006254711529e-05, 0.0016092417088776545)|0.7133202064818264|14728|0.9676981440845018|0.9339619054860662
47|91|0.965375011560159|0.026782576528253027|0.007842411911587903|(0.03284094825252676, 0.020100502512562814)|(1.1823412526463217, 0.49246231155778897)|(0.0006976085711397144, 4.646158842966187e-05, 0.005210788635586663)|0.9490229396771452|11119|0.9959545844862132|0.8722891566265061
47|92|0.9871375338112622|0.007150017969621882|0.005712448219115895|(0.008823142579687157, 0.010050251256281407)|(1.208994293314513, 0.49748743718592964)|(0.000698441632137389, 7.917780923915894e-05, 0.007791244125649271)|0.9774666374972654|10774|0.9971149069509725|0.7145557655954631
47|93|0.9996935687746581|0.00021067146742253034|9.575975791933198e-05|(0.00038399543524276824, 0.0)|(1.2243744942926904, 0.49748743718592964)|(0.00070898996367238, 2.9430808169992348e-05, 0.12087912087912088)|0.9979154258487195|10570|0.9999521077384316|0.8148148148148148
47|94|0.9894585166085242|0.007545881996056423|0.0029956013954193844|(0.009565014724647235, 0.005025125628140704)|(1.2118342901868275, 0.49748743718592964)|(0.0007036257597568616, 4.016125506463929e-05, 0.007653404611272427)|0.9689171606187653|10853|0.99848853004764|0.8343815513626834
